prdcd,product_name,product_category_id,unit,cost_price,selling_price
231,MAX ISI STAPLER NO.10-1M(1000)  PCK ,Alat Tulis Kantor (ATK),DUS,85500.0,103000.0
521,SNOWMAN SPIDOL KECIL HITAM PCS ,Alat Tulis Kantor (ATK),DUS,230400.0,276500.0
15281,KENKO CUTTER A-300  PCS ,Alat Tulis Kantor (ATK),DUS,71000.0,85500.0
15451,KENKO ISI CUTTER A-100 (5)  PCS ,Alat Tulis Kantor (ATK),DUS,38300.0,46000.0
15461,KENKO ISI CUTTER L-150  PCS ,Alat Tulis Kantor (ATK),DUS,80700.0,97000.0
48671,SNOWMAN SPIDOL GIANT HITAM SP PCS ,Alat Tulis Kantor (ATK),LS,86400.0,104000.0
48681,SNOWMAN SPIDOL GIANT BIRU PCS ,Alat Tulis Kantor (ATK),LS,86400.0,104000.0
48711,SNOWMAN SPIDOL WHITEBOARD HITAM PCS ,Alat Tulis Kantor (ATK),DUS,96000.0,115500.0
48721,SNOWMAN SPIDOL WHITEBOARD BIRU PCS ,Alat Tulis Kantor (ATK),DUS,96000.0,115500.0
116361,SNOWMAN BALLPOINT V.1. HITAM PCS ,Alat Tulis Kantor (ATK),DUS,19200.0,23500.0
220851,KENKO PENGGARIS BESI  PCS 30cm,Alat Tulis Kantor (ATK),LS,105600.0,127000.0
227771,SNOWMAN TINTA WRITE BOARD HITAM PCS ,Alat Tulis Kantor (ATK),DUS,192800.0,231500.0
227781,SNOWMAN TINTA WHITE BOARD BIRU BOX ,Alat Tulis Kantor (ATK),DUS,192800.0,231500.0
375531,SNOWMAN SPIDOL 12 WARNA  PCK ,Alat Tulis Kantor (ATK),LS,210000.0,252000.0
383101,SNOWMAN BALLPOINT V.2. BIRU PCS ,Alat Tulis Kantor (ATK),DUS,20100.0,24500.0
483811,KIKY KERTAS DOUBLE FOLIO GARIS 20'S  PCK ,Alat Tulis Kantor (ATK),DUS,900000.0,1080000.0
